time_step,dist_15,dist_25,dist_35,dist_45
59,0.014988558366894722,0.010964484885334969,1.4958470018200387e-08,7.348022888422855e-25
60,0.00295037473551929,0.0062357219867408276,3.284939964487421e-08,3.2946998559761283e-24
61,0.0007720644352957606,0.0019308520713821054,7.008763702742726e-08,1.4343054779232143e-23
62,0.007953556254506111,2.1059831851744093e-06,1.4527130076658068e-07,6.065782478717408e-23
63,0.01126436423510313,0.002085616812109947,2.924572299889405e-07,2.4933230019620157e-22
64,0.005891201552003622,0.008785486221313477,5.717100179936097e-07,9.966283388912845e-22
65,0.0004047645488753915,0.019181767478585243,1.0848411875485908e-06,3.875746278284758e-21
66,0.001217808690853417,0.030833449214696884,1.997263552766526e-06,1.4670309888743636e-20
67,0.004091643262654543,0.040396884083747864,3.565567112673307e-06,5.407158818341527e-20
68,0.0032784543000161648,0.04473181068897247,6.167754236230394e-06,1.9414190055500397e-19
69,0.00045822359970770776,0.04211966320872307,1.0328403732273728e-05,6.792887840395187e-19
70,0.0006358393002301455,0.03309403732419014,1.672436155786272e-05,2.3170257467847896e-18
71,0.0036415555514395237,0.02046940103173256,2.6148925826419145e-05,7.70716271323423e-18
72,0.004362116102129221,0.00845048762857914,3.940573878935538e-05,2.500831854979942e-17
73,0.0012955320999026299,0.0010999183868989348,5.710360346711241e-05,7.918259205557762e-17
74,0.0003907692153006792,0.0007595299393869936,7.933542656246573e-05,2.447098831045763e-16
75,0.00573795847594738,0.007097024004906416,0.00010525705147301778,7.383512615228443e-16
76,0.010110681876540184,0.017221031710505486,0.0001326428900938481,2.1755492796393357e-15
77,0.005404144525527954,0.02685636095702648,0.00015757506480440497,6.261320909179465e-15
78,6.790386919419689e-08,0.03209628537297249,0.00017452101747039706,1.7605276570885516e-14
79,0.0071039749309420586,0.030974794179201126,0.00017711306281853467,4.83704093760199e-14
